model,iteration,inference_ms
rps_ssd_lite_int8.tflite,0,1.2966969989065547
rps_ssd_lite_int8.tflite,1,1.2765309984388296
rps_ssd_lite_int8.tflite,2,1.2679940009547863
rps_ssd_lite_int8.tflite,3,1.2627160012925742
rps_ssd_lite_int8.tflite,4,1.2606039999809582
rps_ssd_lite_int8.tflite,5,1.2781980003637727
rps_ssd_lite_int8.tflite,6,1.2628459990082774
rps_ssd_lite_int8.tflite,7,1.2609929999598535
rps_ssd_lite_int8.tflite,8,1.3414559998636832
rps_ssd_lite_int8.tflite,9,1.2666050006373553
rps_ssd_lite_int8.tflite,10,1.2981039999431232
rps_ssd_lite_int8.tflite,11,1.2847529997088714
rps_ssd_lite_int8.tflite,12,1.268030000574072
rps_ssd_lite_int8.tflite,13,1.3283819989737822
rps_ssd_lite_int8.tflite,14,1.3194930015743012
rps_ssd_lite_int8.tflite,15,1.3124560009600827
rps_ssd_lite_int8.tflite,16,1.2652160003199242
rps_ssd_lite_int8.tflite,17,1.3169199992262293
rps_ssd_lite_int8.tflite,18,1.2659010008064797
rps_ssd_lite_int8.tflite,19,1.2615859996003564
rps_ssd_lite_int8.tflite,20,1.293975001317449
rps_ssd_lite_int8.tflite,21,1.286122998862993
rps_ssd_lite_int8.tflite,22,1.2667720002355054
rps_ssd_lite_int8.tflite,23,1.2626039988390403
rps_ssd_lite_int8.tflite,24,1.270105000003241
rps_ssd_lite_int8.tflite,25,1.2634380000235979
rps_ssd_lite_int8.tflite,26,1.2616050007636659
rps_ssd_lite_int8.tflite,27,1.27399299890385
rps_ssd_lite_int8.tflite,28,1.2631970002985327
rps_ssd_lite_int8.tflite,29,1.32623399986187
rps_ssd_lite_int8.tflite,30,1.2936969997099368
rps_ssd_lite_int8.tflite,31,1.3342890015337616
rps_ssd_lite_int8.tflite,32,1.268105001145159
rps_ssd_lite_int8.tflite,33,1.3234930011094548
rps_ssd_lite_int8.tflite,34,1.2775499999406748
rps_ssd_lite_int8.tflite,35,1.2646420000237413
rps_ssd_lite_int8.tflite,36,1.262382998902467
rps_ssd_lite_int8.tflite,37,1.2696230005531106
rps_ssd_lite_int8.tflite,38,1.2619940007425612
rps_ssd_lite_int8.tflite,39,1.2619199987966567
rps_ssd_lite_int8.tflite,40,1.291567001317162
rps_ssd_lite_int8.tflite,41,1.2866599990957184
rps_ssd_lite_int8.tflite,42,1.268271000299137
rps_ssd_lite_int8.tflite,43,1.2620310008060187
rps_ssd_lite_int8.tflite,44,1.2734749998344341
rps_ssd_lite_int8.tflite,45,1.2671419990510913
rps_ssd_lite_int8.tflite,46,1.2616970016097184
rps_ssd_lite_int8.tflite,47,1.3642150006489828
rps_ssd_lite_int8.tflite,48,1.3050859997747466
rps_ssd_lite_int8.tflite,49,1.265363998754765
rps_ssd_lite_int8.tflite,50,1.304826999330544
rps_ssd_lite_int8.tflite,51,1.2837900012527825
rps_ssd_lite_int8.tflite,52,1.2648819993046345
rps_ssd_lite_int8.tflite,53,1.262196999959997
rps_ssd_lite_int8.tflite,54,1.267326999368379
rps_ssd_lite_int8.tflite,55,1.262863999727415
rps_ssd_lite_int8.tflite,56,1.2616610001714434
rps_ssd_lite_int8.tflite,57,1.2914010003441945
rps_ssd_lite_int8.tflite,58,1.262788999156328
rps_ssd_lite_int8.tflite,59,1.261493998754304
rps_ssd_lite_int8.tflite,60,1.303659999393858
rps_ssd_lite_int8.tflite,61,1.2792899997293716
rps_ssd_lite_int8.tflite,62,1.2903450005978812
rps_ssd_lite_int8.tflite,63,1.2625859999388922
rps_ssd_lite_int8.tflite,64,1.2875489992438816
rps_ssd_lite_int8.tflite,65,1.2634750000870554
rps_ssd_lite_int8.tflite,66,1.2621410005522193
rps_ssd_lite_int8.tflite,67,1.3161970000510337
rps_ssd_lite_int8.tflite,68,1.2654380007006694
rps_ssd_lite_int8.tflite,69,1.2624939990928397
rps_ssd_lite_int8.tflite,70,1.3026420001551742
rps_ssd_lite_int8.tflite,71,1.2826790007238742
rps_ssd_lite_int8.tflite,72,1.3146970013622195
rps_ssd_lite_int8.tflite,73,1.2661780001508305
rps_ssd_lite_int8.tflite,74,1.3641969999298453
rps_ssd_lite_int8.tflite,75,1.2656039998546476
