model,elapsed_s,rss_mb,vms_mb,soc_temp_c,pmic_temp_c,arm_clock_mhz,get_throttled_raw,throttled_any,undervoltage_any,cpu_percent_total,process_cpu_percent
RPS_PreTrained_SSD.tflite,0.0,85.5,244.59375,52.35,,2400.0,0x0,False,False,,
RPS_PreTrained_SSD.tflite,0.7117242813110352,85.609375,244.734375,52.9,,2400.0,0x0,False,False,26.241134751773053,99.81036873384595
RPS_PreTrained_SSD.tflite,1.41408109664917,85.640625,244.734375,54.0,,2400.0,0x0,False,False,25.266903914590742,99.66350099627057
RPS_PreTrained_SSD.tflite,2.136841297149658,85.640625,244.734375,54.0,,2400.0,0x0,False,False,27.430555555555557,98.23503682803948
RPS_PreTrained_SSD.tflite,2.8416125774383545,85.640625,244.734375,55.1,,2400.0,0x0,False,False,25.357142857142854,100.74101558034427
RPS_PreTrained_SSD.tflite,3.542807102203369,85.640625,244.734375,55.65,,2400.0,0x0,False,False,25.266903914590742,99.83141070343724
RPS_PreTrained_SSD.tflite,4.243546962738037,85.65625,244.734375,56.2,,2400.0,0x0,False,False,25.0,98.46573559158232
RPS_PreTrained_SSD.tflite,4.944412469863892,85.65625,244.734375,56.75,,2400.0,0x0,False,False,25.0,99.87648745621382
RPS_PreTrained_SSD.tflite,5.6457273960113525,85.65625,244.734375,56.75,,2400.0,0x0,False,False,25.0,99.81288178872158
RPS_PreTrained_SSD.tflite,6.345504522323608,85.65625,244.734375,57.85,,2400.0,0x0,False,False,25.0,100.03096286977558
RPS_PreTrained_SSD.tflite,7.045856475830078,85.65625,244.734375,58.95,,2400.0,0x0,False,False,25.0,99.95100929826611
rps_ssd_lite_fp32.tflite,0.0,52.3125,499.25,51.8,,1500.0,0x0,False,False,,
rps_ssd_lite_fp32.tflite,0.021061420440673828,52.3125,499.25,53.45,,1500.0,0x0,False,False,62.5,241.20914477363854
rps_ssd_lite_fp32.tflite,0.04043912887573242,52.3125,499.25,52.35,,1500.0,0x0,False,False,57.14285714285714,206.3833972047172
rps_ssd_lite_fp32.tflite,0.058155059814453125,52.328125,499.25,52.35,,1900.0,0x0,False,False,57.14285714285714,224.9830517350146
rps_ssd_lite_fp32.tflite,0.07498383522033691,52.328125,499.25,52.9,,1900.0,0x0,False,False,50.0,178.253606634304
rps_ssd_lite_fp32.tflite,0.09201169013977051,52.328125,499.25,52.9,,1900.0,0x0,False,False,62.5,235.26220502097195
rps_ssd_lite_fp32.tflite,0.11108517646789551,52.328125,499.25,54.0,,1900.0,0x0,False,False,50.0,157.21409908034133
rps_ssd_lite_fp32.tflite,0.13100433349609375,52.328125,499.25,52.9,,1900.0,0x0,False,False,37.5,200.9964802646497
rps_ssd_lite_fp32.tflite,0.14883089065551758,52.34375,499.25,54.55,,2400.0,0x0,False,False,62.5,167.8086511437796
rps_ssd_lite_fp32.tflite,0.16570830345153809,52.34375,499.25,53.45,,2400.0,0x0,False,False,33.333333333333336,177.79425601793915
rps_ssd_lite_fp32.tflite,0.18322324752807617,52.34375,499.25,54.0,,2400.0,0x0,False,False,42.85714285714286,171.09790272297587
rps_ssd_lite_int8.tflite,0.0,52.5,499.171875,51.25,,1500.0,0x0,False,False,,
rps_ssd_lite_int8.tflite,0.023530244827270508,52.5,499.171875,52.35,,1500.0,0x0,False,False,30.000000000000004,128.88670755845837
rps_ssd_lite_int8.tflite,0.04657554626464844,52.5,499.171875,52.35,,1500.0,0x0,False,False,22.22222222222222,86.98762548567444
rps_ssd_lite_int8.tflite,0.07108592987060547,52.5,499.171875,52.9,,1500.0,0x0,False,False,22.22222222222222,81.49107811059207
rps_ssd_lite_int8.tflite,0.08986854553222656,52.515625,499.171875,51.8,,2400.0,0x0,False,False,25.0,105.93646217581173
rps_ssd_lite_int8.tflite,0.10454130172729492,52.515625,499.171875,51.8,,2400.0,0x0,False,False,16.666666666666664,68.14266402530343
rps_ssd_lite_int8.tflite,0.11919164657592773,52.515625,499.171875,52.9,,2400.0,0x0,False,False,19.999999999999996,68.22298299653586
rps_ssd_lite_int8.tflite,0.13381528854370117,52.515625,499.171875,53.45,,2400.0,0x0,False,False,28.57142857142857,136.76423746636
rps_ssd_lite_int8.tflite,0.14850378036499023,52.515625,499.171875,52.9,,2400.0,0x0,False,False,19.999999999999996,68.1032131438721
rps_ssd_lite_int8.tflite,0.1631450653076172,52.53125,499.171875,52.9,,2400.0,0x0,False,False,16.666666666666664,68.26179463721147
rps_ssd_lite_int8.tflite,0.1777956485748291,52.546875,499.171875,53.45,,2400.0,0x0,False,False,33.333333333333336,136.57797065691585
