model,model_path,backend,file_size_bytes,file_size_mb,input_shape,input_dtype,input_quantization,output_shapes,output_dtypes,output_quantization,warmup,repeat,mean_inference_ms,median_inference_ms,min_inference_ms,max_inference_ms,rss_mb_start,rss_mb_end,rss_mb_mean,rss_mb_peak,vms_mb_mean,vms_mb_peak,cpu_percent_total_mean,process_cpu_percent_mean,soc_temp_start_c,soc_temp_end_c,soc_temp_mean_c,soc_temp_max_c,pmic_temp_mean_c,pmic_temp_max_c,arm_clock_mhz_mean,throttled_any,undervoltage_any,get_throttled_raw,metrics_note,benchmark_note
RPS_PreTrained_SSD.tflite,/home/dain/AI_assignment/models/RPS_PreTrained_SSD.tflite,tflite_runtime,11498836,10.966144561767578,"[1, 320, 320, 3]",float32,"(0.0, 0)","[[1, 10], [1, 10, 4], [1], [1, 10]]","['float32', 'float32', 'float32', 'float32']","[(0.0, 0), (0.0, 0), (0.0, 0), (0.0, 0)]",10,100,70.0906060899797,69.87315749938716,69.3460309994407,72.03970299997309,85.5,85.65625,85.63210227272727,85.65625,244.7215909090909,244.734375,25.456264099365296,99.64184098464969,52.35,58.95,55.5,58.95,,,2400.0,False,False,0x0,"CPU, temperature, clock, and throttling values are power-related proxy metrics, not direct watt measurements.",This is a headless random-input inference benchmark. It does not measure camera display behavior or formal detection accuracy.
rps_ssd_lite_fp32.tflite,/home/dain/AI_assignment/models/rps_ssd_lite_fp32.tflite,tflite_runtime,115876,0.11050796508789062,"[1, 64, 64, 3]",float32,"(0.0, 0)","[[1, 256, 7]]",['float32'],"[(0.0, 0)]",10,100,1.5608463599528477,1.5157425004872493,1.0970690000249306,2.3397659988404484,52.3125,52.34375,52.328125,52.34375,499.25,499.25,51.54761904761905,196.1002794598332,51.8,54.0,53.15,54.55,,,1927.2727272727273,False,False,0x0,"CPU, temperature, clock, and throttling values are power-related proxy metrics, not direct watt measurements.",This is a headless random-input inference benchmark. It does not measure camera display behavior or formal detection accuracy.
rps_ssd_lite_int8.tflite,/home/dain/AI_assignment/models/rps_ssd_lite_int8.tflite,tflite_runtime,36768,0.035064697265625,"[1, 64, 64, 3]",int8,"(0.003921568859368563, -128)","[[1, 256, 7]]",['int8'],"[(0.02992659993469715, -30)]",10,100,1.5341516799708188,1.2724289999823668,1.2630490000447026,2.1003969995945226,52.5,52.546875,52.51420454545455,52.546875,499.171875,499.171875,23.46825396825397,94.93747362567353,51.25,53.45,52.55,53.45,,,2072.7272727272725,False,False,0x0,"CPU, temperature, clock, and throttling values are power-related proxy metrics, not direct watt measurements.",This is a headless random-input inference benchmark. It does not measure camera display behavior or formal detection accuracy.
