model,elapsed_s,rss_mb,vms_mb,soc_temp_c,pmic_temp_c,arm_clock_mhz,get_throttled_raw,throttled_any,undervoltage_any,cpu_percent_total,process_cpu_percent
RPS_PreTrained_SSD.tflite,0.0,85.65625,124.40625,57.3,,2400.0,0x0,False,False,,
RPS_PreTrained_SSD.tflite,0.6865787506103516,85.765625,124.546875,56.2,,2400.0,0x0,False,False,25.090909090909086,99.09469058019407
RPS_PreTrained_SSD.tflite,1.3703901767730713,85.796875,124.546875,56.75,,2400.0,0x0,False,False,24.90842490842491,97.97972404380593
RPS_PreTrained_SSD.tflite,2.052568197250366,85.796875,124.546875,58.4,,2400.0,0x0,False,False,24.90842490842491,99.68875294841617
RPS_PreTrained_SSD.tflite,2.7341060638427734,85.796875,124.546875,57.85,,2400.0,0x0,False,False,25.0,99.76578163483381
RPS_PreTrained_SSD.tflite,3.418081521987915,85.8125,124.546875,58.4,,2400.0,0x0,False,False,24.90842490842491,99.42137083836234
RPS_PreTrained_SSD.tflite,4.100672245025635,85.8125,124.546875,58.4,,2400.0,0x0,False,False,24.90842490842491,99.61868837465269
RPS_PreTrained_SSD.tflite,4.784117221832275,85.8125,124.546875,58.95,,2400.0,0x0,False,False,25.182481751824813,99.49905430609226
RPS_PreTrained_SSD.tflite,5.467632293701172,85.8125,124.546875,60.05,,2400.0,0x0,False,False,24.90842490842491,99.48119605313202
RPS_PreTrained_SSD.tflite,6.157558441162109,85.828125,124.546875,60.6,,2400.0,0x0,False,False,25.090909090909086,100.00828691857348
RPS_PreTrained_SSD.tflite,6.8395891189575195,85.828125,124.546875,60.05,,2400.0,0x0,False,False,25.0,99.70444698767253
RPS_PreTrained_SSD.tflite,7.522234201431274,85.828125,124.546875,59.5,,2400.0,0x0,False,False,24.90842490842491,99.61319449468331
RPS_PreTrained_SSD.tflite,8.204660177230835,85.828125,124.546875,60.6,,2400.0,0x0,False,False,24.90842490842491,98.17702626377424
RPS_PreTrained_SSD.tflite,8.886898756027222,85.828125,124.546875,61.15,,2400.0,0x0,False,False,24.90842490842491,99.67345364234379
RPS_PreTrained_SSD.tflite,9.569605112075806,85.84375,124.546875,61.15,,2400.0,0x0,False,False,25.182481751824813,99.60266738282225
RPS_PreTrained_SSD.tflite,10.252718687057495,85.84375,124.546875,61.15,,2400.0,0x0,False,False,25.0,99.54463380463042
RPS_PreTrained_SSD.tflite,10.935441970825195,85.84375,124.546875,61.7,,2400.0,0x0,False,False,24.63235294117647,99.60178138544556
RPS_PreTrained_SSD.tflite,11.617852210998535,85.84375,124.546875,61.7,,2400.0,0x0,False,False,24.90842490842491,98.18069487207796
RPS_PreTrained_SSD.tflite,12.30141019821167,85.859375,124.546875,61.15,,2400.0,0x0,False,False,24.90842490842491,99.48141712439903
RPS_PreTrained_SSD.tflite,12.982335805892944,85.859375,124.546875,62.8,,2400.0,0x0,False,False,25.0,99.86288165489604
RPS_PreTrained_SSD.tflite,13.664173364639282,85.859375,124.546875,62.8,,2400.0,0x0,False,False,24.90842490842491,99.7298176977006
RPS_PreTrained_SSD.tflite,14.352148294448853,85.859375,124.546875,61.7,,2400.0,0x0,False,False,25.454545454545453,98.84036443610556
RPS_PreTrained_SSD.tflite,15.034629821777344,85.859375,124.546875,62.8,,2400.0,0x0,False,False,24.90842490842491,99.63655296184585
RPS_PreTrained_SSD.tflite,15.718823671340942,85.859375,124.546875,64.45,,2400.0,0x0,False,False,24.817518248175187,99.38652628939195
RPS_PreTrained_SSD.tflite,16.403874397277832,85.875,124.546875,63.35,,2400.0,0x0,False,False,24.90842490842491,99.28108304737465
RPS_PreTrained_SSD.tflite,17.087159395217896,85.875,124.546875,63.35,,2400.0,0x0,False,False,24.90842490842491,99.50174792368597
RPS_PreTrained_SSD.tflite,17.771198272705078,85.875,124.546875,63.9,,2400.0,0x0,False,False,24.90842490842491,99.41013388971069
RPS_PreTrained_SSD.tflite,18.455292463302612,85.875,124.546875,65.55,,2400.0,0x0,False,False,25.182481751824813,99.40014468448447
RPS_PreTrained_SSD.tflite,19.138601541519165,85.875,124.546875,63.9,,2400.0,0x0,False,False,24.817518248175187,99.51619936257624
RPS_PreTrained_SSD.tflite,19.82203960418701,85.890625,124.546875,63.9,,2400.0,0x0,False,False,24.90842490842491,99.4979519173121
RPS_PreTrained_SSD.tflite,20.51298689842224,85.890625,124.546875,63.35,,2400.0,0x0,False,False,25.270758122743686,98.41480281232415
