model,elapsed_s,rss_mb,vms_mb,soc_temp_c,pmic_temp_c,arm_clock_mhz,get_throttled_raw,throttled_any,undervoltage_any,cpu_percent_total,process_cpu_percent
RPS_PreTrained_SSD.tflite,28.052004098892212,85.78125,244.734375,64.45,,2400.0,0x0,False,False,25.08960573476703,98.52208631781029
RPS_PreTrained_SSD.tflite,28.75205898284912,85.78125,244.734375,63.35,,2400.0,0x0,False,False,25.266903914590742,99.99043162985657
RPS_PreTrained_SSD.tflite,29.451531887054443,85.78125,244.734375,63.35,,2400.0,0x0,False,False,25.0,100.07665027928687
RPS_PreTrained_SSD.tflite,30.15290117263794,85.78125,244.734375,64.45,,2400.0,0x0,False,False,25.0,99.80337722385491
RPS_PreTrained_SSD.tflite,30.853381872177124,85.796875,244.734375,63.9,,2400.0,0x0,False,False,24.731182795698924,99.93052687025204
RPS_PreTrained_SSD.tflite,31.553012371063232,85.796875,244.734375,65.0,,2400.0,0x0,False,False,25.08960573476703,100.05562792738299
RPS_PreTrained_SSD.tflite,32.25357699394226,85.796875,244.734375,63.9,,2400.0,0x0,False,False,25.0,99.92034107741172
RPS_PreTrained_SSD.tflite,32.955646276474,85.796875,244.734375,63.9,,2400.0,0x0,False,False,25.266903914590742,99.70217365507693
RPS_PreTrained_SSD.tflite,33.65670895576477,85.796875,244.734375,63.9,,2400.0,0x0,False,False,25.0,98.42261793172625
RPS_PreTrained_SSD.tflite,34.35774374008179,85.796875,244.734375,63.9,,2400.0,0x0,False,False,24.731182795698924,99.8518153414449
RPS_PreTrained_SSD.tflite,35.05877065658569,85.8125,244.734375,64.45,,2400.0,0x0,False,False,25.0,99.85474330194613
rps_ssd_lite_fp32.tflite,0.0,52.453125,499.25,54.0,,1500.0,0x0,False,False,,
rps_ssd_lite_fp32.tflite,0.02063131332397461,52.453125,499.25,52.35,,1500.0,0x0,False,False,57.14285714285714,246.5453206611014
rps_ssd_lite_fp32.tflite,0.042319536209106445,52.453125,499.25,54.55,,1500.0,0x0,False,False,50.0,184.4158466750106
rps_ssd_lite_fp32.tflite,0.06080770492553711,52.46875,499.25,54.0,,2400.0,0x0,False,False,33.333333333333336,269.01011059076194
rps_ssd_lite_fp32.tflite,0.07637763023376465,52.46875,499.25,54.0,,2400.0,0x0,False,False,40.0,128.4298969815366
rps_ssd_lite_fp32.tflite,0.09010720252990723,52.46875,499.25,54.0,,2400.0,0x0,False,False,50.0,218.55972783433572
rps_ssd_lite_fp32.tflite,0.10419631004333496,52.484375,499.25,54.0,,2400.0,0x0,False,False,60.0,213.28023508337827
rps_ssd_lite_fp32.tflite,0.11796021461486816,52.484375,499.25,54.55,,2400.0,0x0,False,False,50.0,217.83704946345387
