model,model_path,backend,file_size_bytes,file_size_mb,input_shape,input_dtype,input_quantization,output_shapes,output_dtypes,output_quantization,warmup,repeat,mean_inference_ms,median_inference_ms,min_inference_ms,max_inference_ms,rss_mb_start,rss_mb_end,rss_mb_mean,rss_mb_peak,vms_mb_mean,vms_mb_peak,cpu_percent_total_mean,process_cpu_percent_mean,soc_temp_start_c,soc_temp_end_c,soc_temp_mean_c,soc_temp_max_c,pmic_temp_mean_c,pmic_temp_max_c,arm_clock_mhz_mean,throttled_any,undervoltage_any,get_throttled_raw,metrics_note,benchmark_note
RPS_PreTrained_SSD.tflite,/home/dain/AI_assignment/models/RPS_PreTrained_SSD.tflite,tflite_runtime,11498836,10.966144561767578,"[1, 320, 320, 3]",float32,"(0.0, 0)","[[1, 10], [1, 10, 4], [1], [1, 10]]","['float32', 'float32', 'float32', 'float32']","[(0.0, 0), (0.0, 0), (0.0, 0), (0.0, 0)]",20,500,69.8360770019899,69.82387000061863,69.16991899925051,83.58895599849347,85.515625,85.8125,85.72763480392157,85.8125,244.7316176470588,244.734375,25.020859915760823,99.71905868857255,54.0,64.45,60.923529411764704,65.55,,,2400.0,False,False,0x0,"CPU, temperature, clock, and throttling values are power-related proxy metrics, not direct watt measurements.",This is a headless random-input inference benchmark. It does not measure camera display behavior or formal detection accuracy.
rps_ssd_lite_fp32.tflite,/home/dain/AI_assignment/models/rps_ssd_lite_fp32.tflite,tflite_runtime,115876,0.11050796508789062,"[1, 64, 64, 3]",float32,"(0.0, 0)","[[1, 256, 7]]",['float32'],"[(0.0, 0)]",20,500,1.2638373839617998,1.286651000555139,0.8711440004844917,2.2005259997968096,52.453125,52.609375,52.54044117647059,52.609375,499.25,499.25,49.85,199.38478460673988,54.0,57.3,56.28627450980392,58.4,,,2347.0588235294117,False,False,0x0,"CPU, temperature, clock, and throttling values are power-related proxy metrics, not direct watt measurements.",This is a headless random-input inference benchmark. It does not measure camera display behavior or formal detection accuracy.
rps_ssd_lite_int8.tflite,/home/dain/AI_assignment/models/rps_ssd_lite_int8.tflite,tflite_runtime,36768,0.035064697265625,"[1, 64, 64, 3]",int8,"(0.003921568859368563, -128)","[[1, 256, 7]]",['int8'],"[(0.02992659993469715, -30)]",20,500,1.309466161976161,1.2661230002777302,1.2602160004462348,2.081655999063514,52.765625,52.9375,52.85202205882353,52.9375,499.171875,499.171875,23.236507936507934,92.89544281368606,51.8,55.1,54.35588235294118,56.2,,,2347.0588235294117,False,False,0x0,"CPU, temperature, clock, and throttling values are power-related proxy metrics, not direct watt measurements.",This is a headless random-input inference benchmark. It does not measure camera display behavior or formal detection accuracy.
