elapsed_s,phase,rss_mb,vms_mb,cpu_percent_total,process_cpu_percent,soc_temp_c,pmic_temp_c,arm_clock_mhz,get_throttled_raw,throttled_any,undervoltage_any
0.0,start,90.734375,482.5,,0.0,49.6,,2400.0,0x0,False,False
6.67572021484375e-06,warmup,91.625,482.953125,28.846153846153843,119.06428615750133,49.05,,2400.0,0x0,False,False
1.0897600650787354,warmup,130.453125,788.59375,23.556581986143186,65.15238496366356,51.8,,2400.0,0x0,False,False
2.0857419967651367,warmup,131.6875,789.765625,18.781725888324875,72.29041924113838,53.45,,2400.0,0x0,False,False
3.081876516342163,warmup,130.578125,788.640625,18.481012658227847,74.28719623208114,54.55,,2400.0,0x0,False,False
4.074732542037964,warmup,131.75,789.8125,18.575063613231556,72.51803052060531,54.0,,2400.0,0x0,False,False
5.0713677406311035,measure,130.59375,788.640625,18.734177215189874,74.24986385976196,54.55,,2400.0,0x0,False,False
6.067293405532837,measure,131.765625,789.8125,18.481012658227847,73.29834920276055,54.55,,2400.0,0x0,False,False
7.063023090362549,measure,130.59375,788.640625,18.939393939393945,73.31325986144455,54.55,,2400.0,0x0,False,False
8.058289051055908,measure,131.78125,789.8125,18.939393939393945,73.3472464017518,55.65,,2400.0,0x0,False,False
9.055514812469482,measure,130.625,788.640625,18.481012658227847,73.20310707161346,56.2,,2400.0,0x0,False,False
10.046220302581787,measure,131.796875,789.8125,18.575063613231556,73.68486106738668,56.75,,2400.0,0x0,False,False
11.043412685394287,measure,130.625,788.640625,18.734177215189874,73.20559065406782,56.75,,2400.0,0x0,False,False
12.038393497467041,measure,131.8125,789.8125,19.143576826196472,73.36820663555402,57.85,,2400.0,0x0,False,False
13.035528898239136,measure,130.640625,788.640625,18.891687657430733,73.20969651035965,57.85,,2400.0,0x0,False,False
14.030455112457275,measure,131.8125,789.8125,18.939393939393945,74.37743528689354,57.3,,2400.0,0x0,False,False
15.022700071334839,measure,130.65625,788.640625,19.191919191919194,73.57049052390398,58.4,,2400.0,0x0,False,False
16.018731832504272,measure,131.859375,789.8125,19.548872180451127,73.29082664849967,58.95,,2400.0,0x0,False,False
17.01481294631958,measure,130.6875,788.640625,18.891687657430733,73.2872267125349,58.4,,2400.0,0x0,False,False
18.01078510284424,measure,131.875,789.8125,19.34673366834171,73.29518323073827,58.4,,2400.0,0x0,False,False
19.007889986038208,measure,130.71875,788.640625,18.274111675126903,73.21200387982645,59.5,,2400.0,0x0,False,False
20.00372576713562,measure,131.890625,789.8125,18.734177215189874,73.30525164450087,59.5,,2400.0,0x0,False,False
21.076635360717773,measure,130.734375,788.640625,18.823529411764707,75.49566947433277,59.5,,2400.0,0x0,False,False
22.073825359344482,measure,130.953125,788.859375,18.274111675126903,73.20572257521255,58.95,,2400.0,0x0,False,False
23.069358110427856,measure,131.921875,789.8125,18.527918781725884,73.32754630318681,60.05,,2400.0,0x0,False,False
24.064540147781372,measure,130.96875,788.859375,18.112244897959183,73.35338683637578,58.95,,2400.0,0x0,False,False
25.061569929122925,measure,131.921875,789.8125,18.274111675126903,73.2174662716307,60.05,,2400.0,0x0,False,False
26.05228590965271,measure,130.984375,788.859375,18.36734693877551,74.69348735119766,60.05,,2400.0,0x0,False,False
27.048580408096313,measure,131.953125,789.8125,18.481012658227847,73.27144954511246,60.6,,2400.0,0x0,False,False
28.04440450668335,measure,131.0,788.859375,17.902813299232733,72.30196554387595,60.05,,2400.0,0x0,False,False
29.040931224822998,measure,131.96875,789.8125,18.481012658227847,73.25442551263009,60.6,,2400.0,0x0,False,False
30.03668212890625,measure,131.03125,788.859375,18.481012658227847,73.31151315573995,61.7,,2400.0,0x0,False,False
31.032896995544434,measure,131.984375,789.8125,18.527918781725884,73.2773839894383,60.05,,2400.0,0x0,False,False
32.024675130844116,measure,131.046875,788.859375,18.9873417721519,73.6051270338894,61.7,,2400.0,0x0,False,False
33.020801067352295,measure,131.046875,788.859375,18.686868686868685,73.28393229326424,61.15,,2400.0,0x0,False,False
34.01704812049866,measure,131.0625,788.859375,19.09547738693468,73.27502071713882,61.15,,2400.0,0x0,False,False
35.0147123336792,end,125.25,782.859375,19.298245614035093,74.17232946852364,61.15,,2400.0,0x0,False,False
