frame_index,elapsed_s,phase,is_warmup,capture_ms,preprocess_ms,inference_ms,postprocess_draw_ms,display_wait_ms,total_frame_ms,top_label,top_confidence,detection_pass,expected_label,expected_match,drawn_count
0,6.67572021484375e-06,warmup,True,210.60314300120808,2.8122259991505416,73.16454400097427,0.014351000572787598,31.793816000572406,321.00123400050506,Paper,0.3981345295906067,False,none,False,0
1,0.3210270404815674,warmup,True,0.3191839987266576,3.9136840005085105,77.00732000012067,0.011148000339744613,11.235014999328996,92.66503599974385,Paper,0.4441891014575958,False,none,False,0
2,0.4137098789215088,warmup,True,0.2097770011459943,2.9532070002460387,75.2992739999172,0.01107400021282956,12.25238099868875,90.88811900073779,Paper,0.4129469096660614,False,none,False,0
3,0.504615068435669,warmup,True,0.1800359987100819,1.8701940007304074,72.35765999939758,0.011223000910831615,11.290997001196956,85.8831999994436,Paper,0.527416467666626,False,none,False,0
4,0.5905144214630127,warmup,True,18.032701998890843,1.668806000452605,73.3800620000693,0.010703999578254297,11.257348000071943,104.52456600069127,Paper,0.5313608646392822,False,none,False,0
5,0.6950571537017822,warmup,True,0.20672099890362006,1.6964909991656896,68.34592100130976,0.011259000530117191,11.296053000478423,81.72729700163472,Paper,0.5439579486846924,False,none,False,0
6,0.7768011093139648,warmup,True,31.78405600010592,1.6933429997152416,68.15610699959507,0.010518999260966666,12.302806999286986,114.12360800022725,Paper,0.5399929285049438,False,none,False,0
7,0.8909406661987305,warmup,True,0.20285100072214846,1.7271569995500613,68.17121900166967,0.010722000297391787,11.276571000053082,81.55588999943575,Paper,0.5491904020309448,False,none,False,0
8,0.9725134372711182,warmup,True,36.06297900114441,1.6918250003072899,68.01170099970477,0.010591998943709768,11.276533999989624,117.22942599953967,Paper,0.5648471117019653,False,none,False,0
9,1.0897600650787354,warmup,True,0.22036900008970406,2.149969999663881,68.06729299933068,0.01081400114344433,11.25696000053722,84.41720799964969,Paper,0.6754192113876343,False,none,False,0
10,1.1741933822631836,warmup,True,34.39317300035327,1.712806000796263,68.10769999901822,0.2601829983177595,12.277121000806801,116.91307599903666,Paper,0.789324164390564,True,none,False,2
11,1.2911229133605957,warmup,True,0.19144399993820116,1.6823620007926365,68.04549699882045,0.15264699868566822,11.249571000007563,81.45426099872566,Paper,0.9519219398498535,True,none,False,1
12,1.372593879699707,warmup,True,32.04679600094096,1.695843000561581,68.68829000086407,0.15272200107574463,11.258405000262428,113.98083199856046,Paper,0.9276377558708191,True,none,False,1
13,1.4865903854370117,warmup,True,0.20368399964354467,1.6961389992502518,68.14512600067246,0.010888999895541929,11.257645001023775,81.47998200001894,Paper,0.6914663314819336,False,none,False,0
14,1.568087100982666,warmup,True,36.51497600003495,1.6874359989742516,68.26360699960787,0.187276998985908,11.244033999901148,118.03466200035473,Paper,0.9366297721862793,True,none,False,1
15,1.6861374378204346,warmup,True,0.17990700143855065,1.7238060008821776,67.70868400053587,0.18566499966254923,11.242497001148877,81.17731799939065,Paper,0.8592798709869385,True,none,False,1
16,1.7673311233520508,warmup,True,37.27950899883581,1.6878429996722843,68.16045999948983,0.010907999239861965,12.332379999861587,119.64022899883275,Paper,0.4032975733280182,False,none,False,0
17,1.886988639831543,warmup,True,0.19466499907139223,1.6902689985727193,68.05820100089477,0.1577399998495821,12.292491001062444,82.52206999895861,Paper,0.753032922744751,True,none,False,1
18,1.969526767730713,warmup,True,35.093742999379174,1.7111399993154919,67.85066500015091,0.15242499830492307,11.251849000473158,116.19933899964963,Paper,0.971267580986023,True,none,False,1
19,2.0857419967651367,warmup,True,0.18423900110065006,1.7910280002979562,68.09094100026414,0.010740999641711824,11.270904000411974,83.95048800048244,Paper,0.35233309864997864,False,none,False,0
20,2.1697089672088623,warmup,True,34.93063300084032,2.31274699945061,68.00453500000003,0.010370000381954014,12.304546999075683,117.73471900050936,Paper,0.3485000729560852,False,none,False,0
21,2.2874605655670166,warmup,True,0.18883200027630664,1.6956199997366639,67.91923899982066,0.1532400001451606,11.2455519993091,81.33852100036165,Rock,0.8370110988616943,True,none,False,1
22,2.3688156604766846,warmup,True,31.830185998842353,1.6974730006040772,68.29314400056319,0.010166999345528893,11.25073799994425,113.28953900010674,Scissors,0.5299293994903564,False,none,False,0
23,2.4821219444274902,warmup,True,0.1928509991557803,1.7285470003116643,68.21786599903135,0.009888999557006173,11.291423001239309,81.62038999944343,Scissors,0.4149237871170044,False,none,False,0
24,2.5637588500976562,warmup,True,36.900122999213636,1.7030470007739495,68.12177400024666,0.011537000318639912,12.330028001088067,119.2381380005827,Paper,0.46092841029167175,False,none,False,0
25,2.683014392852783,warmup,True,0.18716499835136347,1.7265469996345928,67.87685000017518,0.010907999239861965,11.259405000600964,81.23157699992589,Paper,0.4732581377029419,False,none,False,0
26,2.7642626762390137,warmup,True,36.39842200027488,1.7001579999487149,67.91957200039178,0.01020399940898642,11.261144998570671,117.46075799965183,Paper,0.43228474259376526,False,none,False,0
27,2.881739854812622,warmup,True,0.19377600074221846,1.7406210008630296,67.85325700002431,0.011611000445554964,11.267978999967454,81.23644700026489,Scissors,0.5746028423309326,False,none,False,0
28,2.9629921913146973,warmup,True,37.68252599911648,1.7116020007961197,68.01562699911301,0.010777001079986803,11.274071001025732,118.86819500068668,Paper,0.6509681940078735,False,none,False,0
29,3.081876516342163,warmup,True,0.18018499940808397,2.1748590006609447,68.03536699953838,0.012425000022631139,11.259553000854794,84.28174600157945,Rock,0.5517756938934326,False,none,False,0
30,3.1661736965179443,warmup,True,30.517526000039652,1.6967139999906067,67.9280900003505,0.1488699999754317,12.293399000554928,112.72104199997557,Rock,0.7374758720397949,True,none,False,1
31,3.2789111137390137,warmup,True,0.1820739998947829,1.7162320000352338,68.04112700046971,0.14705500143463723,12.294621001274209,82.51438499974029,Rock,0.7148355841636658,True,none,False,1
32,3.3614416122436523,warmup,True,35.251482999228756,1.7060280006262474,67.9329049999069,0.16938800035859458,12.328732000241871,117.52298000101291,Scissors,0.712652325630188,True,none,False,1
33,3.4789819717407227,warmup,True,0.19372099995962344,1.7028060010488844,67.90731299952313,0.14166599976306316,11.273570999037474,81.35287199911545,Rock,0.7062240839004517,True,none,False,1
34,3.5603513717651367,warmup,True,36.348051000459236,1.699806000033277,68.04575599926466,0.22418399930757005,12.26436199976888,118.74949199955154,Scissors,0.7162184715270996,True,none,False,2
35,3.679116725921631,warmup,True,0.18135099890059792,1.7200649999722373,69.674340000347,0.1437579994671978,11.255699999310309,83.14599200093653,Rock,0.7163649201393127,True,none,False,1
36,3.762277841567993,warmup,True,34.43545099980838,1.717787999950815,67.94192300003488,0.010721998478402384,11.267182000665343,115.543546000481,Scissors,0.6814790368080139,False,none,False,0
37,3.877837896347046,warmup,True,0.18909200116468128,1.7610279992368305,68.04342299983546,0.2252769991173409,11.251923000600073,81.60668500022439,Scissors,0.713326096534729,True,none,False,2
38,3.9594600200653076,warmup,True,33.26669700072671,1.7174169988720678,67.67005500114465,0.1722209999570623,12.289805999898817,115.25656600133516,Scissors,0.7176893949508667,True,none,False,1
39,4.074732542037964,warmup,True,0.18188799913332332,1.8636019995028619,67.94047900075384,0.010666999514796771,11.25708899962774,83.79761900141602,Scissors,0.6948549747467041,False,none,False,0
40,4.1585469245910645,warmup,True,34.20598899901961,2.3260809994098963,68.16590400012501,0.009981000403058715,11.251755999182933,116.13626500002283,Scissors,0.6917895674705505,False,none,False,0
41,4.274700880050659,warmup,True,0.19910999981220812,1.735916999678011,68.04570100030105,0.15079600052558817,12.296046999836108,82.5643289990694,Paper,0.7086755633354187,True,none,False,1
42,4.357280969619751,warmup,True,35.45922299963422,1.712565001071198,68.42706899988116,0.16525800128874835,11.243478000324103,117.14683300124307,Scissors,0.7090149521827698,True,none,False,1
43,4.4744439125061035,warmup,True,0.1890359999379143,1.7279540006711613,67.80081299984886,0.010648000170476735,11.267273999692407,81.1728540011245,Scissors,0.698413610458374,False,none,False,0
44,4.555633068084717,warmup,True,37.12156600158778,1.7160099996544886,68.22949600064021,0.23544299983768724,12.285324999538716,119.7444120007276,Scissors,0.764555811882019,True,none,False,2
